# time nsamples latency average
21:27:22 803 0 0
21:27:23 803 0.143528463263 0
21:27:24 696 0.162041909483 0
21:27:25 846 0.137868752955 0
21:27:26 712 0.138768352528 0
21:27:27 936 0.150960059829 0
21:27:28 512 0.162058464844 0
21:27:29 1002 0.125651083832 0
21:27:30 963 0.122930655244 0
21:27:31 829 0.124394688782 0
21:27:32 691 0.1559067178 0
21:27:33 732 0.156826896175 0.142410914856
21:27:34 292 0.168331020548 0.143740758147
21:27:35 713 0.113120180926 0.144369669254
21:27:36 289 0.114871290657 0.141894812051
21:28:00 501 0.096652994012 0.139505105864
21:28:20 292 0.103257938356 0.134074399282
21:28:21 209 0.103671870813 0.128194346633
21:28:22 957 0.111464722048 0.125996425331
21:28:23 822 0.127216170316 0.124849832012
21:28:24 1148 0.118050405052 0.125131980165
21:28:25 580 0.11181937931 0.12134634889
21:28:29 361 0.102865944598 0.116845597204
21:28:30 140 0.101820478571 0.110299089609
21:28:31 137 0.111544839416 0.109169119374
21:28:32 543 0.100698952118 0.108836474249
21:28:33 756 0.132539099206 0.10924107006
21:28:34 568 0.113656100352 0.112169186145
21:28:35 593 0.103248541315 0.113167609099
21:28:36 409 0.103364889976 0.112345991026
21:28:37 480 0.121091370833 0.109960862992
21:28:38 522 0.116281298851 0.11026495957
21:28:39 483 0.118656915114 0.110711151524
21:28:40 519 0.10152949711 0.112290248575
21:28:56 501 0.103145928144 0.112261150429
21:28:59 575 0.107101492174 0.111421259302
21:29:00 427 0.106877039813 0.112061513307
21:29:04 108 0.142724972222 0.109495307368
21:29:05 509 0.123337746562 0.112402194555
21:29:06 456 0.109502675439 0.11441111508
21:29:07 430 0.150745513953 0.115024893626
21:29:08 410 0.157447412195 0.117990307938
21:29:09 123 0.126114341463 0.122106919273
21:29:10 579 0.104307046632 0.122852661907
21:29:11 391 0.0966142225064 0.12313041686
21:29:16 501 0.0978023872255 0.122477246296
21:29:20 517 0.103344922631 0.121547335801
21:29:21 528 0.107029935606 0.121194124083
21:29:22 458 0.0956748886463 0.117624620421
21:29:23 507 0.112803832347 0.11485833463
21:29:24 452 0.149331727876 0.115188450321
21:29:25 467 0.130007950749 0.115047071713
21:29:26 427 0.137693826698 0.112303125568
21:29:27 463 0.145476483801 0.113461074092
21:29:28 189 0.106974603175 0.117578017809
21:29:29 501 0.116393013972 0.118614055875
21:29:30 332 0.127067487952 0.12047311855
21:29:31 607 0.105575420099 0.122845375082
21:29:32 139 0.117250805755 0.122699923532
21:29:33 425 0.105054849412 0.124857515242
21:29:37 501 0.099483237525 0.124082616949
21:29:39 165 0.107617515152 0.119097767914
21:29:40 336 0.104566217262 0.116858724354
21:29:49 57 0.0939096140351 0.11354596341
21:29:50 666 0.131410647147 0.108389276434
21:29:51 279 0.101141050179 0.110832880831
21:29:52 28 0.127940857143 0.109307684452
21:29:53 537 0.118574184358 0.109395021371
21:29:54 653 0.114480191424 0.110694897797
21:29:55 285 0.0991055263158 0.110417836364
21:29:57 51 0.112807333333 0.109822904054
21:29:58 465 0.120289275269 0.111155313635
21:29:59 690 0.10823447971 0.112422489647
21:30:00 297 0.113512811448 0.112789315891
21:30:03 239 0.102567129707 0.114749635633
21:30:04 262 0.0975886183206 0.111865283889
21:30:08 85 0.0990104588235 0.111510040703
21:30:09 467 0.101390479657 0.108617000871
21:30:10 673 0.110130881129 0.106898630401
21:30:11 278 0.0998282446043 0.106463699371
21:30:12 327 0.120167373089 0.1065359712
21:30:13 513 0.113076194932 0.107271975176
21:30:14 543 0.115499620626 0.106550667142
21:30:15 507 0.103745538462 0.107277181234
21:30:16 114 0.0981394561404 0.106300453935
21:30:18 501 0.110513215569 0.105857686578
21:30:19 606 0.106589886139 0.107150146303
21:30:20 396 0.10628045202 0.107908089035
21:30:30 356 0.100226435393 0.108397086271
21:30:31 168 0.105451345238 0.107406641697
21:30:32 597 0.109512500838 0.107968951761
21:30:33 372 0.095582155914 0.106903464536
21:30:34 511 0.11011032681 0.105154060634
21:30:35 425 0.130392477647 0.104615131252
21:30:36 500 0.119194838 0.107279825171
21:30:37 428 0.154047161215 0.109385363357
21:30:38 316 0.153304794304 0.113738757921
21:30:39 335 0.114253131343 0.118410248738
21:30:40 207 0.0975662077295 0.11920751667
21:30:41 294 0.0991636938776 0.118941493904
21:30:49 501 0.0991027704591 0.118312728768
21:30:50 222 0.0959764774775 0.11727175573
21:30:51 279 0.104485333333 0.117311187886
21:30:57 473 0.103458298097 0.116748688539
21:30:58 529 0.120197950851 0.114055270584
21:30:59 501 0.105900560878 0.114155581869
21:31:00 527 0.101868442125 0.109340921835
21:31:01 475 0.1049292 0.104197286617
21:31:02 501 0.127056802395 0.103264893483
21:31:03 529 0.130578092628 0.106213952949
21:31:04 473 0.128690403805 0.109355392824
21:31:05 513 0.1011231423 0.112314156159
21:31:06 489 0.102406709611 0.112828822641
21:31:18 164 0.104765469512 0.112620960269
21:31:19 337 0.104435795252 0.112751677411
21:31:20 569 0.104485644991 0.111175461851
21:31:21 494 0.110283738866 0.111033970262
21:31:22 521 0.120567892514 0.111875499936
21:31:23 657 0.120619418569 0.113439369188
21:31:24 433 0.121986325635 0.112795630805
21:31:25 507 0.110379053254 0.111936454106
21:31:26 326 0.103758417178 0.110105319051
21:31:36 396 0.124375020202 0.110368846538
21:31:37 105 0.102772028571 0.112565677598
21:31:44 501 0.114346217565 0.112366333503
21:31:45 552 0.100211302536 0.113357375735
21:31:46 460 0.0993034608696 0.112929941489
21:31:47 269 0.111629486989 0.11183191369
21:31:48 500 0.12320356 0.110938073137
21:31:49 384 0.144694356771 0.11119648728
21:31:50 452 0.137965966814 0.113467290394
21:31:51 486 0.13874587037 0.11622598175
21:31:52 516 0.130509232558 0.119724727069
21:31:53 389 0.0943894138817 0.120338148304
21:31:54 617 0.098704465154 0.119499886835
21:31:55 338 0.117055147929 0.117935711594
21:31:56 548 0.123851667883 0.119620096134
21:32:02 501 0.101130860279 0.122074916835
21:32:05 468 0.107377352564 0.121025054164
21:32:06 534 0.111284769663 0.11944243342
21:32:08 367 0.106642972752 0.11610147471
21:32:09 402 0.122935420398 0.112969175303
21:32:10 233 0.110677463519 0.111388130306
21:32:19 292 0.536425530822 0.109404953402
21:32:20 401 0.108053693267 0.153608565096
21:32:21 403 0.111695042184 0.154543487908
21:32:22 644 0.121517335404 0.154007477333
21:32:23 491 0.122276501018 0.153774044085
21:32:24 535 0.122726233645 0.155888608159
21:32:25 426 0.116100100939 0.157423496267
21:32:26 315 0.256051171429 0.157905029395
21:32:33 501 0.102375656687 0.172845849262
21:32:34 417 0.126802100719 0.170789872891
21:32:35 583 0.105497490566 0.172402336611
21:32:36 503 0.115885186879 0.129309532586
21:32:39 269 0.124443446097 0.130092681947
21:32:40 530 0.121211630189 0.131367522338
21:32:41 203 0.124210137931 0.131336951817
21:32:43 167 0.0993042215569 0.131530315508
21:32:44 554 0.116002655235 0.129188114299
