# time nrequests latency average
13:03:37 0  0.0 0.0
13:03:38 2 0.0498945 0.0
13:03:39 0  0.0498945 0.0
13:03:40 0  0.0498945 0.0
13:03:41 0  0.0498945 0.0
13:03:42 0  0.0498945 0.0
13:03:43 0  0.0498945 0.0
13:03:44 0  0.0498945 0.0
13:03:45 0  0.0498945 0.0
13:03:46 0  0.0498945 0.0
13:03:47 0  0.0498945 0.0
13:03:48 0  0.0498945 0.0
13:03:49 0  0.0498945 0.0
13:03:50 0  0.0498945 0.0
13:03:51 0  0.0498945 0.0
13:03:52 0  0.0498945 0.0
13:03:53 0  0.0498945 0.0
13:03:54 0  0.0498945 0.0
13:03:55 0  0.0498945 0.0
13:03:56 0  0.0498945 0.0
13:03:57 0  0.0498945 0.0
13:03:58 0  0.0498945 0.0
13:03:59 0  0.0498945 0.0
13:04:00 0  0.0498945 0.0
13:04:01 0  0.0498945 0.0
13:04:02 0  0.0498945 0.0
13:04:03 0  0.0498945 0.0
13:04:04 0  0.0498945 0.0
13:04:05 0  0.0498945 0.0
13:04:06 0  0.0498945 0.0
13:04:07 0  0.0498945 0.0
13:04:08 0  0.0498945 0.0
13:04:09 0  0.0498945 0.0
13:04:10 0  0.0498945 0.0
13:04:11 0  0.0498945 0.0
13:04:12 0  0.0498945 0.0
13:04:13 0  0.0498945 0.0
13:04:14 0  0.0498945 0.0
13:04:15 0  0.0498945 0.0
13:04:16 0  0.0498945 0.0
13:04:17 0  0.0498945 0.0
13:04:18 0  0.0498945 0.0
13:04:19 0  0.0498945 0.0
13:04:20 0  0.0498945 0.0
13:04:21 801 0.0397154069913 0.0
13:04:22 1549 0.038319004519 0.0
13:04:23 1150 0.0351277252174 0.0
13:04:24 956 0.0354676108787 0.0
13:04:25 1525 0.0403423822951 0.0
13:04:26 1137 0.0401224555849 0.0
13:04:27 1098 0.041047071949 0.0
13:04:28 1360 0.0378110595588 0.0
13:04:29 798 0.0351027907268 0.0
13:04:30 0  0.0351027907268 0.0
13:04:31 0  0.0351027907268 0.0
13:04:32 0  0.0351027907268 0.0
13:04:33 881 0.0358872088536 0.0392950007721
13:04:34 123 0.0335779756098 0.0378942716575
13:04:35 0  0.0335779756098 0.0378942716575
13:04:36 0  0.0335779756098 0.0378942716575
13:04:37 0  0.0335779756098 0.0378942716575
13:04:38 0  0.0335779756098 0.0378942716575
13:04:39 0  0.0335779756098 0.0378942716575
13:04:40 0  0.0335779756098 0.0378942716575
13:04:41 0  0.0335779756098 0.0378942716575
13:04:42 0  0.0335779756098 0.0378942716575
13:04:43 0  0.0335779756098 0.0378942716575
13:04:44 0  0.0335779756098 0.0378942716575
13:04:45 0  0.0335779756098 0.0378942716575
13:04:46 0  0.0335779756098 0.0378942716575
13:04:47 0  0.0335779756098 0.0378942716575
13:04:48 0  0.0335779756098 0.0378942716575
13:04:49 1072 0.0385319813433 0.0372805285193
13:04:50 1001 0.0505191978022 0.0373018262017
13:04:51 1036 0.0547537133205 0.0388409734602
13:04:52 967 0.056074983454 0.0407695837044
